ID,Título,Venue,DOI,Year,ISSN / e-ISSN,Scopus (Percentil),"Qualis (2025-2028, derivado do percentil)",SJR Quartile,Citações OpenAlex,Citações Crossref,Citações Scopus,Citações (verificado em),Cluster (índice),Tipo (índice),Elegibilidade (Etapa 1)
P73,Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response,Applied Sciences,10.3390/app13116610,2023,2076-3417,82.0%,A2,Q2,54,51,PENDENTE (sem chave de API na sessão),2026-09-09,Alert triage & correlation,systems/empirical,ELEGÍVEL
P74,Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models,Information,10.3390/info16020087,2025,2078-2489,79.0%,A2,Q2,58,58,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,unscreened(rule-classified),ELEGÍVEL
P75,Enhancing Cloud Security—Proactive Threat Monitoring and Detection Using a SIEM-Based Approach,Applied Sciences,10.3390/app132212359,2023,2076-3417,82.0%,A2,Q2,32,26,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P76,Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence,Information,10.3390/info16050365,2025,2078-2489,79.0%,A2,Q2,36,40,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,unscreened(rule-classified),ELEGÍVEL
P77,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,Artificial Intelligence Review,10.1007/s10462-025-11219-5,2025,0269-2821,99.0%,A1,Q1,34,37,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
P78,Advancing Cyber Incident Timeline Analysis Through Retrieval-Augmented Generation and Large Language Models,Computers,10.3390/computers14020067,2025,2073-431X,86.0%,A2,Q1,27,28,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P79,AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation,Journal of Cybersecurity and Privacy,10.3390/jcp5040095,2025,2624-800X,85.0%,A2,Q1,29,34,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
P80,AI-Assisted Security Alert Data Analysis with Imbalanced Learning Methods,Applied Sciences,10.3390/app13031977,2023,2076-3417,82.0%,A2,Q2,19,16,PENDENTE (sem chave de API na sessão),2026-09-09,Alert triage & correlation,systems/empirical,ELEGÍVEL
P81,Enhancing Control Room Operator Decision Making,Processes,10.3390/pr12020328,2024,2227-9717,60.0%,A4,Q2,18,18,PENDENTE (sem chave de API na sessão),2026-09-09,Human factors,systems/empirical,INELEGÍVEL (Qualis A4 fora de A1–A2)
P82,Artificial Intelligence Agent-Enabled Predictive Maintenance: Conceptual Proposal and Basic Framework,Computers,10.3390/computers14080329,2025,2073-431X,86.0%,A2,Q1,18,19,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,systems/empirical,ELEGÍVEL
P83,Enhancing Security Operations Center: Wazuh Security Event Response with Retrieval-Augmented-Generation-Driven Copilot,Sensors,10.3390/s25030870,2025,1424-8220,91.0%,A1,Q1,12,14,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P84,Availability analysis of redundant and replicated cloud services with Bayesian networks,Quality and Reliability Engineering International,10.1002/qre.3414,2023,0748-8017,76.0%,A2,Q2,8,9,PENDENTE (sem chave de API na sessão),2026-09-09,Benchmarks & evaluation,systems/empirical,ELEGÍVEL
P85,Thermographic and cognitive assessment of fatigue in vessel traffic service operators: a socio-technical approach,"Cognition, Technology and Work",10.1007/s10111-025-00804-x,2025,1435-5558,99.0%,A1,Q1,7,7,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,unscreened(rule-classified),ELEGÍVEL
P86,Distributed Tracing for Troubleshooting of Native Cloud Applications via Rule-Induction Systems,Journal of Universal Computer Science,10.3897/jucs.112513,2023,0948-695X,47.0%,B1,Q3,6,5,PENDENTE (sem chave de API na sessão),2026-09-09,Root-cause analysis,systems/empirical,INELEGÍVEL (SJR Q3 fora de Q1–Q2; Qualis B1 fora de A1–A2)
P87,An LLM-Based Agentic Network Traffic Incident-Report Approach Towards Explainable-AI Network Defense,Journal of Sensor and Actuator Networks,10.3390/jsan15020032,2026,2224-2708,97.0%,A1,Q2,1,1,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,systems/empirical,ELEGÍVEL
P88,A Decentralised Self-Healing Approach for Network Topology Maintenance,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-020-09486-3,2020,1387-2532,76.0%,A2,Q2,8,4,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,systems/empirical,ELEGÍVEL
P89,A unified framework for detecting point and collective anomalies in operating system logs via collaborative transformers,Scientific Reports,10.1038/s41598-025-27693-4,2025,2045-2322,87.0%,A2,Q1,2,2,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
